,Zoning_Class,Lot_Extent,Lot_Size,Road_Type,Property_Shape,Land_Outline,Utility_Type,Lot_Configuration,Property_Slope,Neighborhood,Condition1,Condition2,House_Type,House_Design,Overall_Material,Construction_Year,Remodel_Year,Roof_Design,Roof_Quality,Exterior1st,Exterior2nd,Brick_Veneer_Type,Brick_Veneer_Area,Exterior_Material,Exterior_Condition,Foundation_Type,Basement_Height,Basement_Condition,Exposure_Level,BsmtFinType1,BsmtFinSF1,BsmtFinType2,Total_Basement_Area,Heating_Type,Heating_Quality,Air_Conditioning,Electrical_System,First_Floor_Area,Second_Floor_Area,Grade_Living_Area,Full_Bathroom_Above_Grade,Half_Bathroom_Above_Grade,Kitchen_Quality,Rooms_Above_Grade,Functional_Rate,Fireplaces,Fireplace_Quality,Garage,Garage_Built_Year,Garage_Finish_Year,Garage_Size,Garage_Quality,Garage_Condition,Pavedd_Drive,Sale_Type,Sale_Condition,Sale_Price
0,RLD,65.0,8450,Paved,Reg,Lvl,AllPub,I,GS,CollgCr,Norm,Norm,1Fam,2Story,7,2003,2003,Gable,SS,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PC,Gd,TA,No,GLQ,706,Unf,856,GasA,Ex,Y,SBrkr,856,854,1710,2,1,Gd,8,TF,0,,Attchd,2003.0,RFn,2,TA,TA,Y,WD,Normal,208500
1,RLD,80.0,9600,Paved,Reg,Lvl,AllPub,FR2P,GS,Veenker,Feedr,Norm,1Fam,1Story,6,1976,1976,Gable,SS,MetalSd,MetalSd,None,0.0,TA,TA,CB,Gd,TA,Gd,ALQ,978,Unf,1262,GasA,Ex,Y,SBrkr,1262,0,1262,2,0,TA,6,TF,1,TA,Attchd,1976.0,RFn,2,TA,TA,Y,WD,Normal,181500
2,RLD,68.0,11250,Paved,IR1,Lvl,AllPub,I,GS,CollgCr,Norm,Norm,1Fam,2Story,7,2001,2002,Gable,SS,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PC,Gd,TA,Mn,GLQ,486,Unf,920,GasA,Ex,Y,SBrkr,920,866,1786,2,1,Gd,6,TF,1,TA,Attchd,2001.0,RFn,2,TA,TA,Y,WD,Normal,223500
3,RLD,60.0,9550,Paved,IR1,Lvl,AllPub,C,GS,Crawfor,Norm,Norm,1Fam,2Story,7,1915,1970,Gable,SS,Wd Sdng,Wd Shng,None,0.0,TA,TA,BT,TA,Gd,No,ALQ,216,Unf,756,GasA,Gd,Y,SBrkr,961,756,1717,1,0,Gd,7,TF,1,Gd,Detchd,1998.0,Unf,3,TA,TA,Y,WD,Abnorml,140000
4,RLD,84.0,14260,Paved,IR1,Lvl,AllPub,FR2P,GS,NoRidge,Norm,Norm,1Fam,2Story,8,2000,2000,Gable,SS,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PC,Gd,TA,Av,GLQ,655,Unf,1145,GasA,Ex,Y,SBrkr,1145,1053,2198,2,1,Gd,9,TF,1,TA,Attchd,2000.0,RFn,3,TA,TA,Y,WD,Normal,250000
5,RLD,85.0,14115,Paved,IR1,Lvl,AllPub,I,GS,Mitchel,Norm,Norm,1Fam,1.5Fin,5,1993,1995,Gable,SS,VinylSd,VinylSd,None,0.0,TA,TA,W,Gd,TA,No,GLQ,732,Unf,796,GasA,Ex,Y,SBrkr,796,566,1362,1,1,TA,5,TF,0,,Attchd,1993.0,Unf,2,TA,TA,Y,WD,Normal,143000
6,RLD,75.0,10084,Paved,Reg,Lvl,AllPub,I,GS,Somerst,Norm,Norm,1Fam,1Story,8,2004,2005,Gable,SS,VinylSd,VinylSd,Stone,186.0,Gd,TA,PC,Ex,TA,Av,GLQ,1369,Unf,1686,GasA,Ex,Y,SBrkr,1694,0,1694,2,0,Gd,7,TF,1,Gd,Attchd,2004.0,RFn,2,TA,TA,Y,WD,Normal,307000
7,RLD,70.04583333333333,10382,Paved,IR1,Lvl,AllPub,C,GS,NWAmes,PosN,Norm,1Fam,2Story,7,1973,1973,Gable,SS,HdBoard,HdBoard,Stone,240.0,TA,TA,CB,Gd,TA,Mn,ALQ,859,BLQ,1107,GasA,Ex,Y,SBrkr,1107,983,2090,2,1,TA,7,TF,2,TA,Attchd,1973.0,RFn,2,TA,TA,Y,WD,Normal,200000
8,RMD,51.0,6120,Paved,Reg,Lvl,AllPub,I,GS,OldTown,Artery,Norm,1Fam,1.5Fin,7,1931,1950,Gable,SS,BrkFace,Wd Shng,None,0.0,TA,TA,BT,TA,TA,No,Unf,0,Unf,952,GasA,Gd,Y,FuseF,1022,752,1774,2,0,TA,8,MD1,2,TA,Detchd,1931.0,Unf,2,Fa,TA,Y,WD,Abnorml,129900
9,RLD,50.0,7420,Paved,Reg,Lvl,AllPub,C,GS,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,1939,1950,Gable,SS,MetalSd,MetalSd,None,0.0,TA,TA,BT,TA,TA,No,GLQ,851,Unf,991,GasA,Ex,Y,SBrkr,1077,0,1077,1,0,TA,5,TF,2,TA,Attchd,1939.0,RFn,1,Gd,TA,Y,WD,Normal,118000
